-sight words: insight, foresight, hindsight, oversight, eyesight, farsight, circumsight
-old words: bold, cold, fold, gold, hold, mold, sold
-ick words: brick, click, flick, kick, pick, slick, trick
-ale words: bale, dale, gale, hale, male, pale, tale
-ent words: bent, cent, dent, lent, scent, tent, vent
-ump words: bump, clump, dump, hump, jump, lump, pump
-ast words: blast, cast, fast, last, past, vast, contrast
-udge words: budge, drudge, fudge, grudge, judge, sludge, trudge



Glow, show, throw, know, blow - words that end in "ow" and have to do with some kind of action or display

Delight, joy, happiness, contentment, pleasure - words that all convey a positive emotional state

Action, deed, feat, exploit, accomplishment - words that all relate to some kind of achievement or success

Cheerful, happy, joyful, ecstatic, elated - words that describe different levels of happiness or joy

Clever, intelligent, smart, wise, brilliant - words that all relate to intelligence or mental ability

Charm, enchantment, allure, fascination, magnetism - words that all describe a quality that attracts or captivates others

Hug, embrace, squeeze, clutch, grasp - words that all describe some kind of physical contact or holding onto something

Help, assist, aid, support, facilitate - words that all describe actions that make something easier or provide relief

Dine, feast, banquet, eat, consume - words that all relate to eating or having a meal

Notice, observe, perceive, detect, identify - words that all describe the act of becoming aware of something



Blame, shame, game, aim, same
Furious, raging, irate, angry, livid
Delightful, enjoyable, pleasant, satisfying, pleasing
Breeze, seize, please, sneeze, freeze
Whisper, mutter, mumble, murmur, grumble
Astonish, amaze, astound, surprise, shock
Enrage, provoke, anger, irritate, incense
Reluctant, hesitant, unwilling, averse, resistant
Intimidate, frighten, scare, terrify, petrify
Gracious, courteous, polite, respectful, considerate



Strong, Long, Wrong, Song, Dong (rhymic)
Joyful, Cheerful, Blissful, Delighted, Ecstatic (similar meaning)
Fashion, Passion, Compassion, Mansion, Ration (rhymic)
Wise, Nice, Price, Spice, Dice (rhymic)
Powerful, Mighty, Potent, Robust, Vigorous (similar meaning)
Difficult, Arduous, Challenging, Demanding, Hard (similar meaning)
Trouble, Bubble, Double, Hubble, Rubble (rhymic)
Memory, History, Victory, Mystery, Misery (rhymic)
Lovely, Pretty, Beautiful, Attractive, Charming (similar meaning)
Swift, Drift, Lift, Gift, Shift (rhymic)



